-177842 -477221 85943.5 -377287 -559282 -406774 -925321 -795898 -405103 -1.07939e+06 -713848 -583129 -508858 -344488 -86476.7 -334599 -31798.1 -150544 -1.19106e+06 -102957 -1.33172e+06 -1.39431e+06 -649587 -690839 -335392 359401 -314948 -269271 -1.16392e+06 -564279 -1.16029e+06 -577047 -579036 -748259 -847831 -1.02292e+06 -914137 -786589 -1.20358e+06 -138445 -1.11012e+06 -806332 -868807 -957542 -1.12179e+06 -1.3314e+06 -1.02841e+06 -778896 -1.72412e+06 297722 -721334 -203910 91434.7 -88053.8 -360672 -266587 -387915 -364642 -311206 -600304 -158619 -146558 -139729 -192500 -88362.3 -626473 -675317 -663534 -636893 -664757 -993945 -664181 -61709.1 -285207 157233 913214 293501 417361 -542877 336240 -509495 -495103 -553027 -747047 -877671 -675232 -921697 -871878 -773956 -167152 -359028 -830337 -367277 -762954 -807069 -796328 -367541 227023 701098 -345616 
-357214 603318 208075 -203949 924078 -68194.2 164467 -465062 -1.34206e+06 -926487 -1.61853e+06 -1.11443e+06 -1.25071e+06 -1.4566e+06 -1.40277e+06 -1.02023e+06 -1.13181e+06 -425381 -174691 -350746 -116192 85452.9 481195 550437 -202040 -163175 -141677 -836270 -983516 -1.33225e+06 -684498 -1.21039e+06 -1.4137e+06 -747447 -533421 -1.20185e+06 -774529 -907930 -93309.5 -237745 -33247.8 268986 284534 125842 877528 48357 152687 -333984 -1.08423e+06 -919868 -503891 -750794 -745455 -777428 -880529 -1.03406e+06 -955867 -449558 -508993 -529923 -230502 -85447.6 74326.4 1.08721e+06 -320762 75506.4 -131678 -683885 -514822 -927139 -517098 -730663 -1.14527e+06 -1.19143e+06 -621672 -1.1884e+06 -623655 -362800 -621662 -467930 -262812 -131384 -263601 -303051 746946 367384 -42706.4 -44605.2 -450746 -129821 -672198 -502863 -551624 41711.8 -1.35784e+06 -432393 -93161.2 -137876 284246 499608 
-1.61881e+06 -1.80776e+06 -1.49057e+06 -534574 -1.1092e+06 -353009 -287681 -488987 -106142 -824473 -370879 -302918 -1.60758e+06 -723107 -1.51297e+06 -2.04988e+06 -1.9576e+06 -1.92751e+06 -1.94333e+06 -1.44249e+06 -1.51764e+06 -581423 -857207 -242114 -523587 -433786 -626012 -957720 -1.17381e+06 97076.7 -1.40282e+06 -716818 -747792 -2.02221e+06 -847431 -1.01467e+06 -273848 -1.48874e+06 -116724 -1.50831e+06 -1.69079e+06 -1.43715e+06 -1.43555e+06 -418031 -764040 311977 189930 726216 1.81024e+06 -67249.7 369144 -397192 -1.08793e+06 -1.52107e+06 -1.29647e+06 -1.07046e+06 -1.45929e+06 -935541 -491879 -1.9415e+06 -606878 -565899 -1.24523e+06 -1.23526e+06 -727560 -688732 -378178 -326354 -624773 1.0287e+06 -554851 205287 -781751 -1.07998e+06 -1.74159e+06 -1.92672e+06 -1.82805e+06 -1.79207e+06 -1.72399e+06 -1.02986e+06 -1.35545e+06 -1.27289e+06 -433468 -445619 669951 222030 309401 466487 426929 -894202 -351948 -919256 -1.15869e+06 -519631 -521358 185156 -169962 584741 54823.3 -771437 
-311755 -230759 10001 272555 292751 306924 202851 -171255 153664 -337257 -372805 -577483 -628331 -868577 -868318 -587130 -483603 -549705 -131302 -206350 -112795 14278.4 104186 242576 245089 370241 91099.8 -50447.7 -109495 -169936 -242605 -72289.5 66273.7 -29073 -179267 -238773 -302361 -79448.2 -391409 -237821 -215838 19829.1 -190944 -175797 -200259 -301764 -464099 -849130 -613203 -876306 -679023 -904367 -668753 -492217 -401307 -111236 -120835 -169506 409146 35040 92355.2 94155.6 103858 -31450.2 -141886 -90025.4 -109505 67583.3 187315 146957 361762 358199 -18207.2 -183781 -208670 -204928 -152996 27678.6 46619.5 -25649.4 78780 -57411 70703.8 -9609.91 -130972 -322442 -252190 -691301 -324943 -619162 -362629 -480064 -340393 -302425 -17558.2 22465.6 218226 -159741 323931 -94005.8 
-300248 -329973 -276498 321639 342385 528719 383130 412104 491431 285471 299065 330314 200374 80210 -354042 -436008 -886842 -623579 -435815 -297896 22437.9 -48252.7 201262 198304 187943 44264.3 347494 -487996 -130556 -271199 -194998 -268717 152544 67122.4 -162497 -291080 209910 -479567 -95205.6 -189756 137697 190208 440984 624393 498338 534232 888980 -88018.7 17711.4 -334358 -584048 -1.01102e+06 -784426 -317079 -480312 -404222 -13147 -314697 41052.3 210611 328984 333557 456943 487369 318070 446428 832434 464234 566449 330449 260611 -129077 -3581.6 -115731 -118739 -301262 -396600 -649507 -355556 -731670 -468217 -541774 -229654 -90287.2 208568 378071 964109 326119 582146 89659.5 200671 20134.4 -20166.4 10637.9 -4876.88 -254761 268670 -215022 215942 132619 
-466045 -401429 -400809 -115537 314774 389063 21388.6 390136 234372 341609 142051 18203.7 -241696 -512912 -668416 -485329 -805531 81333.7 -483523 -169565 -22549 177431 -243571 -212874 -187713 -143792 -918702 -17188.2 -552770 -269583 -362102 4727.02 154342 140033 319194 206835 -449336 -3966.09 -529038 -629312 -512733 -396917 -452834 -638244 -364525 -349432 -378907 -284093 -482465 -347832 -190257 -434446 -475249 -362426 -298124 -157131 -672654 187482 -221394 -316287 -419688 -221754 -420773 -404828 -461304 -355868 -720333 4116.69 61904.7 119263 272600 265551 -165890 -365565 -266213 -335830 -180988 -421117 -105723 -169886 -112836 -122131 -8112.96 69477.4 -132908 -312546 112050 -763572 -512857 -667659 -428785 -402891 -76069.6 -14154 148050 59841.8 230005 -80475.4 29907.5 -454391 
70632.5 430187 619288 884284 625134 832314 694123 570685 285265 338332 -48837.7 23532.8 -91965.2 160322 -267203 223613 51324.8 108725 212757 490360 349717 332983 442905 548388 302881 594432 503163 425512 475465 362476 161027 75528 42090.4 30449.4 -103067 108481 72825.1 156625 -125780 338380 373075 322174 290530 574033 -49433.5 10057.8 -109661 -133898 -269536 -255324 -248714 -110788 76296.1 176664 270697 737043 472039 492608 519517 458659 256088 123179 365116 298956 315652 312747 271490 210906 164174 279486 234140 344504 221968 125482 -93888.6 -181419 90535.4 -128485 165139 501374 362399 326324 381835 160085 -146899 68998.7 -18397.7 -88344.8 143266 285573 204313 162879 295697 81504.5 -77945.5 -32458.5 -195506 -369273 -199018 -331427 
70094.8 281755 -136318 -36217.4 -274390 -283023 -186396 -434843 -155642 -433088 -755891 -519670 -314303 -469499 -259939 -302364 -486807 -212068 -515397 -537748 -32900.6 -388200 -12903.3 -229851 213125 -77383.9 -385272 -7424.19 -263339 -506301 123690 -428057 -243509 -103962 -352714 -118507 -178521 -99765 -110189 -188489 -22129 24812 -388876 -235045 -407971 -400683 -355200 -456244 -275371 -233.724 -492976 -157801 -145257 -383020 -447094 -595462 -606212 -297993 -322731 -273916 -61367.3 -186140 1958.69 -251600 -106395 -238147 -287443 -392277 -374781 -384583 53355.1 -504247 -211215 -185295 -569966 -250483 -154279 -225771 -255064 -106597 77621.8 -440889 -165989 14512.3 -382976 -151694 -253760 -57211.6 -223794 -201178 -424602 -323679 -492857 -505144 -290722 -236508 128635 -31425.5 326155 297974 
330742 787688 932205 917814 1.27228e+06 1.36105e+06 1.20449e+06 1.2661e+06 1.20611e+06 1.03697e+06 969923 1.10969e+06 1.05444e+06 389735 359857 230210 175311 -195882 5730.86 194137 34758.9 320452 476127 700914 959174 761220 619312 835064 768356 851722 806773 1.32497e+06 1.63911e+06 1.64217e+06 1.52605e+06 1.4199e+06 853020 419149 153661 197519 -250075 163646 -71003 -81193.6 432310 810677 596013 830832 787013 917479 -124367 563880 663040 719086 1.2908e+06 2.07991e+06 2.4404e+06 2.2312e+06 1.63966e+06 987321 376101 265173 362000 190284 745984 890727 346791 595233 674151 1.09994e+06 864375 1.46337e+06 1.12985e+06 1.74645e+06 1.67274e+06 1.41969e+06 1.15514e+06 718690 306225 247333 -1.16579e+06 348351 -58532.2 31901.8 408382 876381 756590 821405 504103 755675 595754 442468 769985 632283 682752 379698 19877.8 -183498 -491295 -741087 
-89930.1 -27334.2 371430 174096 10869.9 79878.6 63000.7 -39009.2 -126414 238000 253549 434524 517327 413999 366444 197902 331550 198515 33713.5 577785 423520 132645 566743 287463 285945 459337 599337 489651 432209 875941 505217 498909 686076 679490 488527 336029 220443 83868.6 103422 49027.4 -129933 705055 223188 835723 666481 801573 855925 903795 476809 624738 206164 401828 -70715.6 244075 166768 499583 505309 402893 479568 554812 -118566 238224 -320200 182981 -80109.9 304031 83483.5 162648 171305 285945 -116635 398404 88974.5 123647 -178576 -24233.7 -64184.7 -418473 -273089 -156370 -516649 -276132 81268 28091.2 316046 404559 688311 606784 540173 786988 668844 650860 1.01059e+06 533205 532349 478791 237746 -299403 -186151 -49150.7 
