-20500.7 -165432 -88642.4 -22071.3 -2661.57 184282 -135698 203428 -146606 105097 49272.7 -8828.1 114563 136783 -191137 -4473.92 -25711.2 -109529 -115681 -101366 -79097.2 -186029 -131589 32469.3 -168637 -147691 130614 -155647 -142233 205498 -200974 -207860 -198696 -99288.2 -125060 74725 50073.5 
38859.1 249122 -58606.8 235761 153451 -366605 240878 -315344 289112 -187597 -373127 -158262 -327458 -106536 228375 -110170 -120918 99173.2 228705 242754 53107.7 410912 127294 -125437 221980 212603 -315701 280372 170654 -266233 282224 465090 268475 186657 182073 60711.9 75033.7 
-308784 296880 -79261.8 73415.2 23801.3 -73233.7 -169030 -238133 -176854 96860 -41125.4 67487.3 -7714.93 -264024 -42725.2 181252 503061 -11139 -104462 -307891 391878 99942.7 65741.9 -401095 80838.7 -100116 35824.1 244952 377731 -34795.6 251426 139446 152246 47731.6 305039 75645.6 71424.5 
-128417 -775045 -394548 -69460.7 -186115 937392 -628871 1.09632e+06 -688885 464232 292073 -91253 583634 759894 -940198 -18849.9 -157262 -541085 -581839 -445374 -457311 -907280 -744078 158539 -825415 -623721 640461 -883451 -870541 995233 -1.05658e+06 -1.06661e+06 -1.04471e+06 -480118 -661840 402281 192388 
-24947.2 293599 234133 -171580 -40986.8 -181072 87333.6 -344375 74532.4 -60943 176485 202406 -35860.6 -354222 268422 167948 294020 169876 94898.2 -28852.2 296242 133081 252454 -77207.8 242107 102145 -39095.2 303971 399808 -267697 334650 185637 322524 101356 260228 -235673 -175140 
-81446.1 353213 39598.1 145094 80160.1 -355930 196427 -423500 208988 -144201 -197828 -55441 -243342 -267800 290117 11950 143160 102776 165494 109789 196578 375406 216837 -208136 305356 213833 -262164 350978 292273 -339149 369773 437388 360064 211549 293692 -17183.9 3710.83 
8468.76 598072 189502 138402 199021 -682483 404683 -840563 439237 -293348 -321062 -11438.4 -443368 -586301 635803 25306.4 184785 322186 370126 246576 396905 686760 532051 -253788 618516 397940 -495728 671775 648690 -710152 776943 806982 759678 357771 527017 -202554 -33279.8 
29966.7 -196655 -134455 37622.7 46373.5 169637 -123833 210561 -123191 89356.2 -62797.1 -74341.2 73625.2 171595 -199938 -48606.1 -120723 -101638 -100961 -63733.8 -108456 -143796 -145158 37881.6 -160998 -142591 77988.5 -188481 -190737 190754 -205638 -175927 -204189 -114136 -161068 102159 125491 
-138451 -620679 -365648 -15465.4 -187700 780244 -526686 955284 -565396 380473 234454 -99487.5 461122 706478 -825348 -24598.6 -134002 -494316 -481335 -344784 -419324 -748700 -688876 108613 -734972 -507745 549646 -735538 -767682 879352 -921639 -878762 -919381 -391086 -549370 401379 151227 
8172.93 -329217 55009.2 -284439 -200941 470490 -282699 451285 -326489 212249 438586 181335 386122 212197 -317784 118668 50535.6 -132001 -246097 -236104 -115659 -512119 -218820 178053 -332851 -273592 378941 -373404 -265942 385667 -418691 -577416 -396483 -245712 -269800 -53525.8 -106276 
-387476 1.5559e+06 206632 418148 369763 -1.41956e+06 616442 -1.81909e+06 696290 -495157 -697359 5157.67 -926172 -1.31215e+06 1.1235e+06 227671 878079 519018 633287 211758 1.14216e+06 1.4683e+06 966810 -982681 1.21197e+06 681255 -904683 1.6108e+06 1.61602e+06 -1.3275e+06 1.70871e+06 1.75091e+06 1.55507e+06 782060 1.35905e+06 -186670 -30719.6 
-227648 675041 74937.2 195706 83289 -578434 244745 -698366 286404 -208358 -251030 11050.9 -371618 -495932 430781 101049 402829 187283 255060 86741.1 449835 602567 333490 -442434 462352 306836 -343529 657421 627762 -501369 664438 713765 595166 339950 575128 -25447.9 -61496.1 
110127 192998 226397 -105244 -7959.78 -257257 238824 -294702 258090 -157731 53239.3 94550.4 -128187 -231923 339946 14737.9 -3540.99 191810 217897 204064 90646.8 217045 256698 61945.3 246068 217081 -163143 259157 246087 -303814 281085 256083 305025 147539 165176 -212732 -184816 
32836.6 -523124 -272305 99644.6 -14417.2 452522 -269749 585170 -302960 201611 -39759.9 -180103 228659 497793 -484702 -137044 -276590 -255510 -283439 -148089 -380363 -408543 -375688 170563 -420121 -271858 227687 -583643 -590807 471645 -561114 -499810 -545929 -261899 -437395 245177 255766 
90027.5 133421 122632 -23504.1 22383.1 -209688 188452 -207082 213617 -124111 -43605.4 17049.6 -125434 -149156 238687 -30385.9 -54903.9 138760 177467 174871 58652 197122 180513 23493.9 177208 163167 -155075 192526 167031 -216618 208558 218968 216499 118956 122280 -114318 -102732 
