-172476 -1.09996e+06 464914 994430 -632729 -667431 -448852 -426299 -324323 900890 -496470 -837988 -823382 1.0608e+06 -43855.1 180783 -737407 344828 -263809 -986591 -1.00533e+06 434335 -1.08824e+06 
-318268 479051 140591 -493415 1.09622e+06 71651.8 686566 -203143 -137924 -351166 893154 399349 784212 -1.08822e+06 -405153 -756377 167142 -293667 539341 526422 746751 183292 796847 
360222 -1.64596e+06 249286 1.57156e+06 -802365 -673987 -414631 -309512 -285234 1.55598e+06 -504214 -1.21691e+06 -1.12698e+06 1.57976e+06 371068 305615 -1.01844e+06 53053.1 -634662 -1.4507e+06 -1.26927e+06 878474 -1.56286e+06 
-267865 71848.9 160248 -129962 483099 -99674.3 280953 -231265 -81945.2 -42349.4 441927 108229 338485 -483897 -200429 -426672 -18907.3 -80719.5 308133 153456 195480 167420 289321 
-130420 -374500 196172 290034 -91511 -267444 -73649.3 -227729 -103695 300763 -9682.74 -240738 -166367 211300 -31514 -73675.7 -243352 101277 4275.78 -285836 -301025 200565 -282074 
275354 432980 -331229 -346718 127902 376318 139163 312055 204600 -311534 94926 317581 248556 -288891 169798 79812.9 328412 -202111 -32221.3 362487 382357 -193460 368145 
-79751.1 -1.07607e+06 371602 981200 -563157 -584677 -377100 -383630 -242135 920030 -407518 -799956 -729733 959158 58819 142760 -697791 239881 -255799 -921117 -956004 502323 -1.00751e+06 
-318547 -2.37201e+06 920377 2.12971e+06 -1.02388e+06 -1.39826e+06 -724753 -970291 -619158 2.05697e+06 -666345 -1.73459e+06 -1.52037e+06 1.98641e+06 1485.22 106420 -1.59404e+06 515524 -449808 -2.0302e+06 -2.04352e+06 1.15436e+06 -2.15378e+06 
448486 224636 -404417 -133013 354912 367322 356802 239631 224356 41105.5 384991 213966 322695 -350961 325565 -101073 207135 -437324 -50708.9 249373 357720 147112 327858 
-176394 1.30017e+06 -250472 -1.26273e+06 1.2794e+06 565071 827295 170525 172252 -1.07244e+06 1.05846e+06 1.04197e+06 1.27734e+06 -1.69682e+06 -278981 -702677 779182 -427062 653358 1.24018e+06 1.36158e+06 -319903 1.51588e+06 
-494070 344787 291302 -562363 1.78245e+06 -81110.9 1.19495e+06 -593497 -135274 -133735 1.7931e+06 546857 1.40844e+06 -1.7471e+06 -370423 -1.45473e+06 194395 -568415 952291 742386 858705 636171 1.20371e+06 
87724.4 518434 -207913 -468798 674846 318172 481747 100995 121240 -315526 597999 428486 596396 -770968 -7526.74 -357871 318039 -337545 239144 521847 623269 10089.6 664981 
208263 704660 -349824 -584126 246551 485445 189662 399173 198269 -594663 109422 487586 401577 -500169 56582.8 60075.1 471957 -212246 56082.6 581802 607122 -346004 602283 
-1.34733e+06 -3.72561e+06 2.05943e+06 3.158e+06 -2.596e+06 -2.72089e+06 -2.02414e+06 -1.77141e+06 -1.25329e+06 2.66852e+06 -2.05521e+06 -2.83711e+06 -3.04331e+06 3.77561e+06 -595052 660922 -2.57036e+06 1.86076e+06 -693226 -3.41386e+06 -3.68868e+06 1.00809e+06 -3.85728e+06 
153178 -2.03895e+06 423775 1.92916e+06 -2.13124e+06 -978758 -1.42933e+06 -335329 -226510 1.64893e+06 -1.67738e+06 -1.61334e+06 -2.08854e+06 2.7259e+06 433725 1.10533e+06 -1.23476e+06 822316 -1.01457e+06 -1.98666e+06 -2.22267e+06 373842 -2.44538e+06 
-123470 -1.04492e+06 402678 990876 -1.63247e+06 -638414 -1.16745e+06 -125222 -258251 628070 -1.48133e+06 -933616 -1.46921e+06 1.86505e+06 9639.21 960212 -663364 825995 -654265 -1.16874e+06 -1.36528e+06 -186747 -1.54628e+06 
996944 1.87304e+06 -1.28715e+06 -1.47023e+06 490909 1.55955e+06 502229 1.26323e+06 807797 -1.39595e+06 229195 1.32602e+06 1.03705e+06 -1.22039e+06 573906 379138 1.37929e+06 -749661 -62568.5 1.58408e+06 1.51436e+06 -879259 1.57558e+06 
-209195 1.05504e+06 -143253 -1.0069e+06 827641 425423 500249 164915 94139.2 -952339 581482 793160 876606 -1.20382e+06 -306132 -399284 612701 -200191 478337 948934 1.01252e+06 -392184 1.11704e+06 
232836 447845 -304400 -353512 87975.7 380162 95383 292053 219858 -332057 43902.7 315997 233912 -280310 152012 102164 339952 -151758 -17435.6 386562 327564 -221255 365155 
