189255 3.42968e+06 2.46314e+06 632985 -1.71188e+06 3.27026e+06 2.79759e+06 4.27718e+06 -2.25129e+06 -2.19901e+06 -3.36494e+06 -2.4097e+06 -543511 -1.48828e+06 -1.29496e+06 2.8847e+06 -649099 
-455465 259419 1.18591e+06 447206 129163 81450.1 906373 1.62769e+06 -17569.6 -811197 -1.33322e+06 -992887 -281851 -218690 -44223.8 995709 -874024 
969955 3.558e+06 1.14208e+06 -221872 -1.05954e+06 3.29903e+06 993605 2.92092e+06 -1.43821e+06 -964664 -2.29141e+06 -2.03993e+06 -401667 -509397 -293465 1.20594e+06 -485446 
3.29362e+06 9.34779e+06 1.48644e+06 -999089 -3.74381e+06 9.1401e+06 2.01376e+06 5.46408e+06 -4.42266e+06 -1.70564e+06 -4.14068e+06 -3.6442e+06 -596139 -1.61786e+06 -1.41321e+06 2.4222e+06 584585 
-2.89731e+06 -9.22756e+06 -2.20167e+06 707317 3.37754e+06 -8.86866e+06 -2.38193e+06 -6.39465e+06 4.10553e+06 2.12315e+06 4.9217e+06 4.29088e+06 808310 1.5712e+06 1.24306e+06 -2.88738e+06 144669 
1.83682e+06 5.27617e+06 934044 -500279 -2.46981e+06 5.24935e+06 1.55888e+06 3.11026e+06 -2.96632e+06 -1.16297e+06 -2.34043e+06 -1.92247e+06 -261257 -1.23304e+06 -1.16687e+06 1.65246e+06 530574 
39900 -971022 -892954 -242065 312861 -868137 -812627 -1.50127e+06 445770 699213 1.19247e+06 906492 229897 340492 231153 -906523 432498 
1.58386e+06 3.72687e+06 -197395 -481106 -2.48186e+06 4.03661e+06 919737 929149 -2.71187e+06 -505356 -565251 -375969 36857.8 -1.19991e+06 -1.44712e+06 842443 1.56642e+06 
-467680 -1.00453e+06 28176 314921 -162645 -832193 455098 -521366 -175669 -164121 421116 616556 139477 -346551 -462480 258639 304321 
-1.30088e+06 -4.59368e+06 -1.4287e+06 303052 1.46348e+06 -4.28661e+06 -1.32893e+06 -3.67704e+06 1.95814e+06 1.23298e+06 2.87755e+06 2.52724e+06 477568 714232 454190 -1.57117e+06 520550 
1.08063e+06 3.23465e+06 643569 -355392 -838260 3.0252e+06 403747 2.17772e+06 -1.00859e+06 -525047 -1.69094e+06 -1.62574e+06 -342875 -231496 -68659.2 694072 -246937 
477302 1.38024e+06 303343 -136812 -687434 1.36471e+06 515499 880304 -884529 -359790 -669668 -526841 -47116.2 -372702 -345062 490996 103103 
1.90878e+06 6.11315e+06 1.5479e+06 -544717 -1.87081e+06 5.75529e+06 1.34794e+06 4.46721e+06 -2.37336e+06 -1.33681e+06 -3.46606e+06 -3.14495e+06 -609419 -768515 -455128 1.75622e+06 -489487 
