77795.3 -83469.8 -69149.6 -39040.2 -126341 -35325.5 -258958 -43473.8 161534 -73880.5 229695 -172667 -133015 89378.6 -36445.7 166217 198367 -24402.1 177591 
78592 -84479.3 -69497 -38698.3 -126995 -34949.1 -261566 -43385.4 163703 -74385.3 232519 -175209 -134876 89925.2 -37891.2 167048 200674 -24777.5 179705 
-282888 303934 250441 139916 457640 126420 941499 156610 -588793 267951 -836524 629995 485054 -323978 135483 -601995 -722071 89067.4 -646559 
318820 -342621 -282161 -157440 -515573 -142232 -1.06113e+06 -176336 663779 -301916 942972 -710290 -546843 365029 -153045 678206 813896 -100446 728835 
-404630 434880 357851 199392 653944 180089 1.34661e+06 223474 -842686 383010 -1.19698e+06 901877 694290 -463028 194856 -860189 -1.03308e+06 127517 -925089 
-135888 145975 120376 67347.6 219955 60865 452283 75331.8 -282743 128764 -401755 302488 232913 -155700 64880.4 -289344 -346807 42765.2 -310542 
292410 -314202 -258832 -144520 -472962 -130569 -973213 -161809 608698 -276940 864768 -651321 -501460 334840 -140197 622152 746425 -92094.2 668391 
-231869 249129 205262 114651 375080 103590 771705 128345 -482628 219618 -685679 516407 397597 -265535 111091 -493394 -591857 73012.3 -529972 
84142.2 -90430.2 -74449.4 -41515.7 -136040 -37502.7 -280049 -46511.7 175207 -79670 248889 -187494 -144345 96320.5 -40442 178949 214816 -26514.2 192364 
-204944 220321 181148 100766 331032 90991.8 682058 113029 -426979 193920 -606420 457034 351808 -234416 99017.5 -435428 -523339 64632.7 -468656 
-403538 433717 356948 198926 652257 179677 1.34304e+06 222933 -840386 382016 -1.19374e+06 899385 692379 -461834 194221 -857985 -1.03028e+06 127180 -922608 
380951 -409304 -337285 -188440 -616309 -170266 -1.2679e+06 -210921 792897 -360852 1.12651e+06 -848370 -653190 436306 -182413 810723 972378 -119952 870712 
13814.4 -14742.8 -12507.1 -7370.93 -22821.9 -6710.38 -46039 -8042.15 28390.2 -13274.6 40524.7 -30216.3 -23332.7 16099.5 -5835.56 30047.8 35071 -4267.49 31386.7 
180907 -194422 -160024 -89207.9 -292429 -80577.3 -602071 -99957.7 376719 -171263 535128 -403161 -310374 207048 -87031 384659 461865 -57003 413580 
-199784 214757 176682 98388.2 322844 88860.9 664926 110303 -416134 189101 -591070 445370 342850 -228608 96290.4 -424673 -510114 62990.6 -456819 
-40427.4 43527.4 35568.1 19542.3 65009.6 17615.5 134517 22054.6 -84457 38138.7 -119832 90501.5 69622.6 -46073.2 20015.3 -85497.8 -103357 12804.3 -92575.8 
-62559.1 67174.7 55487.1 31148.1 101386 28163.3 208227 34782.9 -130069 59327.9 -184869 139110 107131 -71752.1 29665 -133375 -159611 19664.8 -142909 
